Time	ET
2012-06-01 00:00:00	3.33161
2012-06-02 00:00:00	3.15175
2012-06-03 00:00:00	2.88649
2012-06-04 00:00:00	3.91215
2012-06-05 00:00:00	3.80689
2012-06-06 00:00:00	3.58352
2012-06-07 00:00:00	3.39429
2012-06-08 00:00:00	3.40969
2012-06-09 00:00:00	3.65626
2012-06-10 00:00:00	3.62063
2012-06-11 00:00:00	3.3751
2012-06-12 00:00:00	3.25656
2012-06-13 00:00:00	3.30086
2012-06-14 00:00:00	3.33787
2012-06-15 00:00:00	3.11121
2012-06-16 00:00:00	3.45944
2012-06-17 00:00:00	3.18674
2012-06-18 00:00:00	4.38774
2012-06-19 00:00:00	3.61587
2012-06-20 00:00:00	5.23268
2012-06-21 00:00:00	3.61615
2012-06-22 00:00:00	3.69269
2012-06-23 00:00:00	3.66807
2012-06-24 00:00:00	3.68936
2012-06-25 00:00:00	3.57887
2012-06-26 00:00:00	4.38162
2012-06-27 00:00:00	3.93124
2012-06-28 00:00:00	3.96133
2012-06-29 00:00:00	3.78122
2012-06-30 00:00:00	3.59371
2012-07-01 00:00:00	3.61409
2012-07-02 00:00:00	3.7032
2012-07-03 00:00:00	3.98836
2012-07-04 00:00:00	4.00981
2012-07-05 00:00:00	4.02253
2012-07-06 00:00:00	3.55693
2012-07-07 00:00:00	3.48112
2012-07-08 00:00:00	3.66605
2012-07-09 00:00:00	3.59763
2012-07-10 00:00:00	3.47818
2012-07-11 00:00:00	3.32703
2012-07-12 00:00:00	3.44333
2012-07-13 00:00:00	3.44676
2012-07-14 00:00:00	3.24747
2012-07-15 00:00:00	3.33683
2012-07-16 00:00:00	3.36413
2012-07-17 00:00:00	3.49601
2012-07-18 00:00:00	3.50049
2012-07-19 00:00:00	3.34644
2012-07-20 00:00:00	3.47058
2012-07-21 00:00:00	3.61048
2012-07-22 00:00:00	3.76174
2012-07-23 00:00:00	3.75203
2012-07-24 00:00:00	3.672
2012-07-25 00:00:00	4.07854
2012-07-26 00:00:00	3.39539
2012-07-27 00:00:00	3.18883
2012-07-28 00:00:00	3.31893
2012-07-29 00:00:00	3.2455
2012-07-30 00:00:00	3.10352
2012-07-31 00:00:00	3.82056
